Ship Mode,Shipping Cost,Sales
Regular Air,0.7,26.38
Delivery Truck,45.51,304.34
Express Air,12.14,1300.81
Regular Air,7.03,67.86
Regular Air,35,747.28
Regular Air,5.3,18.67
Regular Air,18.98,210.77
Regular Air,6.66,209.12
Regular Air,13.99,1287.17
Regular Air,7.44,46.17
Delivery Truck,30.06,899.81
Regular Air,5.3,68.46
Regular Air,18.98,885.23
Regular Air,6.66,836.47
Regular Air,7.44,189.83
Regular Air,10.91,61.52
Express Air,0.7,8.3
Regular Air,5,416.95
Regular Air,1.57,18.71
Regular Air,5.34,40.95
Delivery Truck,54.74,1155.73
Regular Air,1.99,192.3
Express Air,4.99,748.1
Regular Air,4.62,102.54
Regular Air,1.99,70.16
Regular Air,0.99,1240.57
Regular Air,1.99,280.62
Regular Air,24.49,3206.94
Regular Air,4,43.08
Regular Air,5.21,66.55
Regular Air,5.15,103.49
Regular Air,10.68,192.18
Regular Air,1.99,89.76
Regular Air,5.03,28.46
Delivery Truck,54.12,1170.21
Express Air,4,243.32
Regular Air,24.49,3825.32
Regular Air,5.29,8.53
Regular Air,9.23,40.3
Regular Air,4,111.88
Regular Air,1.86,73.97
Delivery Truck,27.75,111.86
Regular Air,1.86,18.49
Express Air,2.64,212.89
Regular Air,8.99,5555.6
Express Air,2.64,55.54
Regular Air,8.99,1440.34
Express Air,4.93,84.76
Regular Air,6.92,104.84
Delivery Truck,51.94,1714.93
Regular Air,8.99,107.95
Delivery Truck,91.05,1967.98
Express Air,6.15,394.1
Regular Air,4.81,266.39
Express Air,7.78,51.82
Delivery Truck,55.96,9539.6
Regular Air,5.17,109.86
Regular Air,0.99,1426.51
Delivery Truck,55.96,2331.9
Regular Air,5.17,27.47
Regular Air,5.37,460.87
Regular Air,11.37,394.51
Regular Air,5.63,38.65
Express Air,5.26,279.83
Express Air,6.28,126.9
Regular Air,5.66,22.82
Regular Air,2.5,188.66
Delivery Truck,30,1845.23
Regular Air,7.53,37.16
Regular Air,11.17,43.65
Regular Air,9.45,31.44
Regular Air,4,64.59
Regular Air,5.47,461.94
Regular Air,69,1216.32
Regular Air,14.48,1989.32
Regular Air,0.8,72.76
Regular Air,6.27,400.47
Express Air,19.99,1531.31
Regular Air,13.99,919.09
Regular Air,1.99,236.46
Regular Air,3.3,73.82
Regular Air,4.8,243.11
Regular Air,8.08,952.26
Regular Air,4,355.92
Regular Air,19.99,101.71
Delivery Truck,55.96,1766.68
Regular Air,0.97,29.02
Delivery Truck,30,159.51
Regular Air,4.2,1838.85
Regular Air,11.28,35.48
Regular Air,2.99,434.31
Regular Air,6.28,19.86
Regular Air,0.99,23.26
Regular Air,5,51.83
Regular Air,7.87,32.4
Regular Air,6.25,492.9
Regular Air,19.99,1081.54
Delivery Truck,14.7,1132.84
Regular Air,14.37,143.63
Regular Air,6.75,73.04
Express Air,6.6,33.35
Regular Air,5.01,60.24
Express Air,19.99,718.03
Express Air,19.99,179.51
Regular Air,4.98,73.18
Regular Air,6.27,8.82
Regular Air,24.49,5976.09
Regular Air,0.5,8.77
Express Air,6.27,20.87
Regular Air,4.86,25.7
Regular Air,0.99,229.57
Regular Air,0.96,66.7
Regular Air,6.07,217
Delivery Truck,14.7,31670.6
Regular Air,9.86,239.82
Regular Air,6.6,66.71
Regular Air,4.96,87.16
Regular Air,2.38,101.26
Regular Air,0.96,17.4
Regular Air,6.07,52.93
Delivery Truck,14.7,8637.44
Regular Air,9.86,59.95
Regular Air,6.5,5062.49
Express Air,4.86,646.97
Regular Air,8.99,946.29
Delivery Truck,53.03,123
Regular Air,12.65,554.08
Regular Air,5.09,152.54
Regular Air,5.19,89.79
Regular Air,4.98,199.76
Express Air,13.99,480.37
Regular Air,0.95,5.76
Delivery Truck,29.21,3112.13
Regular Air,19.99,2589.01
Delivery Truck,14.7,1893.93
Regular Air,8.51,211.13
Regular Air,1.49,25.39
Regular Air,5.67,87.27
Regular Air,13.18,403.25
Regular Air,10.29,414.49
Regular Air,1.25,469.69
Regular Air,13.99,8585.67
Express Air,6.85,57.37
Regular Air,6.05,66.32
Regular Air,1.57,18.75
Delivery Truck,69.64,188.51
Delivery Truck,49,6720.88
Express Air,5.99,102.21
Regular Air,1.97,31.18
Express Air,2,267.53
Delivery Truck,14.7,43046.2
Regular Air,7.44,330.21
Delivery Truck,51.94,6831.37
Delivery Truck,14.7,10331.09
Regular Air,7.44,83.86
Delivery Truck,51.94,1707.84
Express Air,2,66.88
Express Air,35,274.91
Delivery Truck,57,1128.74
Regular Air,3.5,805.99
Express Air,19.99,1066.54
Regular Air,5.03,65.74
Regular Air,5.04,5.84
Regular Air,11.37,405.57
Regular Air,49,32.6
Regular Air,19.99,515.88
Regular Air,5.72,25.06
Regular Air,5,578.24
Regular Air,17.78,116.93
Regular Air,7.59,170.45
Regular Air,19.99,285.87
Regular Air,1.57,20.37
Regular Air,8.78,17.44
Regular Air,1.99,702.68
Regular Air,1.61,67.24
Regular Air,1.49,24.27
Regular Air,1.25,38.53
Delivery Truck,75.23,4910.72
Regular Air,5.9,116.8
Regular Air,7.37,32.39
Regular Air,5,227.79
Express Air,69,5679.59
Regular Air,1.49,102.32
Express Air,69,1494.63
Regular Air,1.39,46.23
Regular Air,11.52,279.28
Regular Air,4,70.06
Express Air,5.24,81.82
Regular Air,5.96,13.16
Regular Air,5.3,205.98
Regular Air,2,31.46
Regular Air,8.99,948.97
Regular Air,8.4,136.99
Regular Air,5,99.36
Regular Air,19.99,9580
Regular Air,5.33,28.32
Delivery Truck,99,2309.49
Delivery Truck,35.02,1232.01
Express Air,8.8,506.38
Express Air,4.2,1042.72
Delivery Truck,59.24,1769.91
Delivery Truck,59.24,6686.34
Delivery Truck,35.02,4620.05
Express Air,8.8,1912.98
Express Air,4.2,4170.87
Regular Air,19.99,818.81
Regular Air,8.99,34.11
Regular Air,0.71,154.71
Regular Air,13.18,192.33
Delivery Truck,44.55,6901.25
Regular Air,4.95,148.94
Regular Air,11.28,200.68
Express Air,1.49,29.92
Regular Air,9.03,19.73
Delivery Truck,56.14,615.54
Regular Air,7.4,261.34
Regular Air,8.99,202.41
Delivery Truck,30,793.39
Regular Air,5.42,54.04
Regular Air,8.99,832.14
Regular Air,5.42,221.06
Regular Air,0.5,58.67
Regular Air,5.81,101.06
Delivery Truck,54.12,1429.81
Regular Air,1.01,34.97
Regular Air,3.99,308.86
Regular Air,19.99,485.01
Express Air,10.68,81.14
Regular Air,5.13,10.11
Regular Air,19.99,6621.17
Regular Air,4.9,253.78
Express Air,8.99,69.96
Regular Air,35,2716.09
Regular Air,2.99,21.34
Regular Air,1.99,17.42
Regular Air,6.35,49.81
Delivery Truck,41.44,3722.41
Express Air,2.99,95.1
Delivery Truck,53.48,734.74
Regular Air,5.26,1882.87
Delivery Truck,23.78,8834.58
Regular Air,2.83,78.54
Regular Air,18.45,605.1
Regular Air,19.99,355.84
Regular Air,8.99,1346.32
Regular Air,13.32,292.18
Regular Air,2.83,322.03
Regular Air,18.45,2470.84
Regular Air,8.99,5250.66
Regular Air,19.99,1423.35
Regular Air,13.32,1154.12
Regular Air,5.61,32.5
Regular Air,1.22,193.95
Regular Air,0.93,158.8
Regular Air,2.82,274.26
Regular Air,1.32,83.16
Regular Air,9.45,261.93
Regular Air,5.14,210.1
Delivery Truck,57,6499.87
Regular Air,1.2,351.56
Regular Air,1.2,87.89
Regular Air,5.61,6.5
Regular Air,2.82,68.56
Regular Air,1.32,20.79
Regular Air,9.45,67.91
Regular Air,0.93,40.37
Regular Air,1.99,122.25
Regular Air,19.99,206.09
Regular Air,5.16,66.9
Express Air,1.34,43.13
Regular Air,11.15,11.21
Regular Air,8.99,100.38
Regular Air,4,66.32
Regular Air,35,1178.32
Delivery Truck,30,2016.32
Regular Air,5.79,612.25
Delivery Truck,46.74,313.63
Regular Air,4,397.17
Regular Air,3.99,63.48
Regular Air,5.74,47.64
Delivery Truck,56.14,1545.58
Regular Air,8.99,2104.99
Regular Air,1.99,353.1
Regular Air,19.99,257.52
Delivery Truck,54.74,411.64
Express Air,0.5,17.59
Regular Air,1.02,141.54
Delivery Truck,69.64,905.4
Delivery Truck,14,243.86
Regular Air,5.08,39.97
Regular Air,3.3,92.96
Regular Air,8.99,1362.2
Regular Air,1.99,336.64
Regular Air,4,429.33
Regular Air,3.5,44.66
Regular Air,11.64,1619.95
Regular Air,9.23,56.44
Express Air,9.54,56.73
Express Air,6.89,64.41
Regular Air,5.76,344.57
Regular Air,5.49,279.01
Delivery Truck,35.84,614.99
Regular Air,4.82,76.23
Regular Air,9.68,99.92
Regular Air,6.19,79.4
Regular Air,6.75,15.49
Regular Air,2.25,18.59
Regular Air,35,834.08
Regular Air,6.86,50.88
Delivery Truck,30,958.46
Express Air,13.99,368.84
Regular Air,1.1,30.86
Regular Air,6.5,568.25
Regular Air,5.14,126.66
Regular Air,5,93.82
Express Air,13.99,8332.91
Regular Air,0.83,5.9
Regular Air,5.22,80.23
Delivery Truck,41.91,2044.9
Regular Air,4.98,53.3
Regular Air,1.6,21.93
Regular Air,2.04,28.46
Regular Air,6.75,89.91
Express Air,8.99,138.51
Regular Air,0.91,41.96
Regular Air,22.24,300.63
Regular Air,5.29,240.46
Regular Air,6.27,74.08
Regular Air,0.7,5.28
Regular Air,5.41,50.83
Regular Air,0.7,39.26
Regular Air,8.79,606.51
Express Air,5.99,64.89
Regular Air,5.3,267.2
Express Air,5.16,86.79
Express Air,8.55,292.37
Regular Air,35,682.79
Regular Air,8.88,125.77
Delivery Truck,60,3918.98
Regular Air,5.3,31.24
Regular Air,9.92,74.77
Regular Air,5.11,127.81
Regular Air,5.15,78.59
Regular Air,8.99,497.11
Regular Air,1.39,27.02
Regular Air,11.54,27.67
Delivery Truck,14.36,1033.56
Regular Air,0.75,19.97
Regular Air,5.26,660.03
Regular Air,0.96,199.12
Regular Air,3.97,63.14
Regular Air,0.7,44.85
Regular Air,0.96,49.78
Regular Air,3.97,16.62
Regular Air,3.61,517.68
Delivery Truck,28,573.31
Regular Air,35,140.23
Regular Air,0.49,594.44
Express Air,2.04,228.5
Delivery Truck,28,191.1
Regular Air,35,28.05
Regular Air,0.49,151.77
Express Air,2.04,57.13
Regular Air,1.49,116.92
Regular Air,5.99,151.6
Regular Air,2.4,31.73
Regular Air,5.61,85.26
Regular Air,5.83,16.6
Delivery Truck,69.64,2285.41
Regular Air,9.71,513.52
Delivery Truck,30,346.52
Regular Air,19.99,499.31
Regular Air,6.31,73.1
Delivery Truck,36.61,2115.06
Regular Air,2.64,47.95
Regular Air,4,134.38
Regular Air,8.94,76.77
Express Air,8.99,782
Regular Air,1.38,15.73
Delivery Truck,35.89,1719.07
Express Air,2.14,8.41
Regular Air,5.46,104.95
Regular Air,3.99,166.59
Delivery Truck,35.84,396.19
Regular Air,12.62,98.7
Express Air,56.2,1782.44
Express Air,5.3,72.11
Regular Air,2.99,124.81
Regular Air,5.09,881.32
Regular Air,2.99,41.6
Delivery Truck,29.7,1497.22
Regular Air,5.09,244.81
Regular Air,1.6,4.55
Regular Air,0.49,27.63
Regular Air,1.56,31.21
Delivery Truck,17.85,1214.03
Regular Air,0.96,3.51
Delivery Truck,51.94,120.12
Regular Air,0.96,7.01
Delivery Truck,35.89,1452.18
Delivery Truck,69.55,619.38
Regular Air,14.37,18.69
Regular Air,5,8.8
Regular Air,12.9,477.2
Regular Air,7.18,2848.38
Regular Air,5.17,38.58
Delivery Truck,76.37,810.47
Regular Air,5.83,72.83
Regular Air,0.99,63.66
Regular Air,1.99,127.22
Regular Air,19.99,432.44
Regular Air,2.27,12.18
Regular Air,17.48,950.43
Regular Air,0.49,25.37
Delivery Truck,45.7,6963.67
Regular Air,1.99,160.17
Regular Air,5.33,7.47
Express Air,4.99,370.81
Regular Air,2.99,119.99
Regular Air,8.99,650.7
Express Air,7.86,11.41
Regular Air,14.72,680.39
Regular Air,5.43,75.52
Delivery Truck,16.63,2354.54
Regular Air,5.04,79.06
Regular Air,2.5,65.14
Regular Air,10.55,640.71
Regular Air,2.99,659.6
Regular Air,5.92,1137.6
Regular Air,3.85,151.55
Regular Air,0.5,57.03
Regular Air,4,347.23
Regular Air,10.17,478.23
Express Air,2.35,93.82
Express Air,6.13,1670.33
Regular Air,2.5,100.59
Regular Air,19.99,598.38
Regular Air,5.83,39.36
Regular Air,4,322.77
Regular Air,0.5,65.09
Express Air,6.75,98.96
Regular Air,21.21,13546.94
Regular Air,11.54,6401.65
Regular Air,5.66,617.4
Regular Air,5.66,157.78
Express Air,7.46,26.31
Regular Air,5.58,209.78
Regular Air,2.5,17.83
Delivery Truck,52.42,2527.79
Regular Air,0.5,121.87
Delivery Truck,52.42,659.42
Regular Air,15.1,403.53
Regular Air,5.03,55.17
Regular Air,13.18,377.44
Regular Air,16.87,286.4
Regular Air,5.45,664.34
Delivery Truck,60.2,473.53
Regular Air,6.15,220.92
Regular Air,7.59,196.41
Express Air,5,54.08
Regular Air,5.83,47.18
Regular Air,9.86,30.87
Regular Air,8.65,309.05
Regular Air,5.08,299.3
Regular Air,7.27,45.24
Regular Air,4.53,51.02
Delivery Truck,91.05,2291.39
Delivery Truck,91.05,9492.92
Regular Air,1.02,318.47
Regular Air,3.98,586.96
Regular Air,24.49,11272.77
Regular Air,3.98,144.33
Express Air,12.62,270.55
Regular Air,1.02,79.62
Express Air,8.99,479.79
Regular Air,10.16,108.99
Delivery Truck,54.92,3527.82
Delivery Truck,29.7,4698.21
Regular Air,0.5,43.08
Regular Air,5,258.93
Regular Air,35,277.6
Regular Air,8.68,168.04
Regular Air,7.69,703.46
Regular Air,7.72,103.61
Regular Air,4.99,3144.56
Delivery Truck,35.02,2653.02
Regular Air,6.89,66.81
Regular Air,0.7,90.52
Regular Air,2.26,55.97
Regular Air,6.19,311.66
Regular Air,24.49,9862.51
Express Air,7.64,177.41
Regular Air,1.39,406.91
Regular Air,6.5,1332.09
Regular Air,6.07,105.5
Regular Air,1.39,101.73
Regular Air,5.19,37.7
Regular Air,6.19,75.81
Regular Air,24.49,2630
Regular Air,6.5,333.02
Regular Air,6.07,27.76
Delivery Truck,28.06,3855.28
Delivery Truck,30,192.49
Regular Air,19.99,2560.55
Regular Air,9.54,227.67
Regular Air,4,8.83
Express Air,2.15,34.41
Regular Air,1.97,157.27
Regular Air,8.99,1013.84
Delivery Truck,35.84,110.75
Regular Air,1.39,181.46
Regular Air,8.08,1076.3
Regular Air,49,21.46
Delivery Truck,39,3506.78
Express Air,6.5,267.69
Delivery Truck,60,2307.26
Regular Air,0.5,39.15
Regular Air,3.3,266.95
Regular Air,24.49,20552.55
Regular Air,6.96,87.8
Delivery Truck,48.26,3741.39
Regular Air,4.5,149.32
Regular Air,5.16,177.01
Regular Air,4.95,35.16
Regular Air,1.49,88.84
Regular Air,5.16,696.96
Regular Air,4.95,149.41
Regular Air,16.11,4556.63
Express Air,13.89,2948.61
Regular Air,1.49,517.85
Regular Air,19.99,2373.32
Regular Air,1.49,325.73
Regular Air,1.49,127.94
Delivery Truck,58.92,1350.94
Regular Air,4.53,75.17
Regular Air,16.11,1125.76
Express Air,13.89,746.03
Regular Air,19.99,593.33
Regular Air,0.5,13.05
Regular Air,4.97,58.95
Regular Air,24.49,3672.89
Express Air,1.99,374.81
Regular Air,4.82,43.27
Regular Air,1.2,11.74
Delivery Truck,30,5258.94
Regular Air,2.64,66.74
Delivery Truck,30,1282.67
Regular Air,6.05,208.83
Express Air,4.62,228.3
Regular Air,1.39,129.53
Express Air,4.62,55.68
Express Air,9.07,568.24
Express Air,6.5,162.91
Regular Air,19.99,97.65
Regular Air,5.26,1018.61
Regular Air,12.65,1145.6
Regular Air,5.21,24.52
Regular Air,13.99,5775.81
Express Air,5,1878.24
Delivery Truck,30,1634.67
Regular Air,19.99,9280.72
Delivery Truck,15.59,1348.83
Regular Air,15.1,564.98
Regular Air,2.83,129.48
Regular Air,11.25,8216.28
Regular Air,15.1,152.11
Regular Air,2.83,35.97
Regular Air,7.01,85.64
Delivery Truck,30,2508.15
Regular Air,5.76,225.62
Regular Air,5.1,610.65
Delivery Truck,36.09,699.24
Delivery Truck,110.2,2346.03
Regular Air,1.49,33.77
Regular Air,35,172.79
Regular Air,2,19.66
Delivery Truck,56.14,604.35
Regular Air,1.92,3.13
Express Air,2.5,38.65
Regular Air,14.52,378.23
Regular Air,6.26,7.15
Regular Air,7.51,29.85
Regular Air,12.65,366.44
Regular Air,4.38,69.75
Regular Air,7.69,852.53
Regular Air,5.02,219.66
Regular Air,7.47,81.9
Delivery Truck,14.7,2343.34
Regular Air,7.47,327.61
Regular Air,24.49,1774.5
Express Air,24.49,1054.69
Regular Air,24.49,6654.39
Express Air,24.49,4429.69
Regular Air,13.99,878.34
Regular Air,11.87,676.57
Regular Air,1.99,459.55
Regular Air,5.31,536.9
Regular Air,0.5,8.74
Regular Air,10.84,182.33
Regular Air,1.99,131.26
Regular Air,2.99,240.6
Regular Air,5,236.88
Regular Air,35,2710.47
Regular Air,35,8354.73
Regular Air,5.68,48.3
Regular Air,2.99,58.81
Regular Air,5,47.38
Regular Air,35,637.76
Regular Air,35,2156.06
Regular Air,3.3,761.16
Express Air,15.1,682.68
Regular Air,4.69,73.44
Regular Air,3.3,2997.07
Regular Air,0.83,282.85
Regular Air,4.69,20.03
Regular Air,1.99,84.56
Regular Air,0.83,70.71
Regular Air,0.8,51.86
Express Air,6.02,56.24
Express Air,8.99,627.78
Regular Air,8.99,283.44
Regular Air,0.99,8.3
Regular Air,0.49,10.04
Regular Air,7.69,981.65
Delivery Truck,16.8,1748.69
Regular Air,5,119.29
Regular Air,0.5,3.08
Express Air,6.22,69.46
Regular Air,3.3,1145.72
Regular Air,1.49,26.37
Regular Air,3.37,53.44
Regular Air,5.35,57.34
Regular Air,14.52,79.02
Regular Air,1.49,25.45
Express Air,5.76,110.72
Regular Air,3.5,46.94
Regular Air,0.5,26.18
Regular Air,4.57,28.66
Regular Air,5.03,123.18
Regular Air,3.5,1533.59
Regular Air,4.08,2.77
Express Air,0.8,31.55
Regular Air,0.5,42.58
Regular Air,1.69,145.36
Regular Air,2.5,3616.52
Express Air,0.7,7.96
Regular Air,6.13,389.59
Regular Air,6.19,447.89
Regular Air,4,1420.84
Regular Air,6.19,111.97
Regular Air,4,355.21
Regular Air,5.26,536.23
Regular Air,0.85,38.81
Regular Air,5.26,2144.92
Express Air,1.99,484.56
Delivery Truck,75.23,471.21
Regular Air,5.1,182.61
Regular Air,0.71,36.58
Delivery Truck,51.94,2376.12
Delivery Truck,39,1020.08
Regular Air,1.39,65.2
Regular Air,0.7,22.59
Regular Air,8.94,121.36
Delivery Truck,14.7,2013.67
Regular Air,2.5,1824.33
Regular Air,1.39,107.65
Regular Air,4.8,165.21
Express Air,3.97,25.15
Delivery Truck,64.73,4285.56
Delivery Truck,45,631.37
Regular Air,35,267.83
Regular Air,6.22,21.46
Regular Air,0.99,2767.95
Express Air,13.18,123.03
Express Air,6.77,431.84
Express Air,18.06,2366.51
Regular Air,0.99,291.64
Regular Air,4.98,252.36
Regular Air,8.99,575.07
Delivery Truck,54.74,1781.66
Regular Air,10.12,940.64
Delivery Truck,45.51,439.27
Regular Air,19.99,4410.19
Express Air,6.5,552.89
Regular Air,3.99,621.56
Express Air,1.99,88.83
Regular Air,2.01,307.65
Regular Air,2.01,76.91
Regular Air,6.22,151.34
Regular Air,19.99,290.24
Regular Air,19.99,971.4
Express Air,3.3,193.51
Regular Air,7.19,157.81
Regular Air,11.25,19.44
Delivery Truck,28.66,4636.63
Delivery Truck,14,739.07
Regular Air,10.16,157.64
Express Air,9.17,42.16
Regular Air,5.29,14.08
Regular Air,4.53,256.73
Regular Air,6.05,18.59
Regular Air,6.6,58.83
Delivery Truck,80.2,1557.66
Regular Air,0.5,129.43
Express Air,1,61.39
Regular Air,8.99,2435.52
Regular Air,0.99,464.86
Regular Air,1.49,288.67
Regular Air,4.85,1030.51
Delivery Truck,70.2,2026.91
Regular Air,5.01,115.53
Express Air,8.99,162.39
Regular Air,5.26,1316.03
Regular Air,6.5,1395.41
Regular Air,19.99,4920.81
Regular Air,0.5,28.22
Regular Air,4.93,74.01
Regular Air,2.06,48.1
Regular Air,24.49,11015.82
Regular Air,9.47,300.67
Delivery Truck,40.19,723.54
Regular Air,6.35,87.53
Regular Air,3.99,172.22
Delivery Truck,51.94,894.88
Regular Air,0.99,16.67
Regular Air,11.54,195.16
Regular Air,49,879.62
Regular Air,1.99,361.19
Delivery Truck,28.16,1088.26
Regular Air,11.25,105.75
Regular Air,6.02,63.93
Regular Air,5.99,391.4
Regular Air,6.97,14.53
Express Air,6.38,144.03
Regular Air,6.98,48.81
Delivery Truck,26,7360.2
Regular Air,6.02,89.06
Regular Air,0.98,134.97
Regular Air,2.15,17.42
Regular Air,0.78,19.12
Delivery Truck,29.21,186.64
Regular Air,4.77,3.53
Express Air,24.49,706.56
Regular Air,24.49,13121.07
Regular Air,15.09,110.93
Express Air,3.6,118.35
Regular Air,6.05,17.31
Regular Air,9.45,23.56
Regular Air,1.99,494.49
Regular Air,4.59,158.13
Express Air,4.99,163.01
Regular Air,8.4,333.04
Regular Air,19.99,472.44
Regular Air,6.13,18.73
Delivery Truck,14.7,2427.18
Regular Air,13.88,434.85
Regular Air,8.34,19.16
Regular Air,69,1959.88
Regular Air,16.36,710.16
Express Air,7.96,48.25
Regular Air,5.37,243.24
Regular Air,3.85,38.54
Delivery Truck,14,1483.16
Delivery Truck,56.14,562.93
Regular Air,0.94,29.18
Express Air,24.49,1634.13
Regular Air,6.79,214.14
Regular Air,5.81,100.79
Regular Air,1.35,35.97
Regular Air,5.1,735.7
Regular Air,3.14,225.59
Express Air,3.99,145.12
Regular Air,2.74,94.27
Regular Air,0.5,82.21
Express Air,8.99,417.47
Express Air,35,1104.32
Regular Air,4.9,149.8
Regular Air,2.2,6.97
Regular Air,1.99,367.52
Regular Air,19.99,1576.35
Regular Air,0.99,52.16
Regular Air,15.01,4881.84
Delivery Truck,69.55,926.3
Regular Air,14.3,942.53
Regular Air,6.85,276.64
Regular Air,19.51,514.62
Regular Air,10.25,817.32
Regular Air,5.41,284.48
Regular Air,4.7,225.98
Regular Air,5.41,72.77
Regular Air,4.7,57.7
Regular Air,5.33,19.67
Regular Air,35,514.79
Regular Air,5.26,893.53
Regular Air,19.99,2053.6
Regular Air,8.37,37.89
Regular Air,5.76,343.79
Express Air,1.39,188.09
Regular Air,5.5,129.54
Regular Air,5.26,49.44
Regular Air,5.4,14.29
Regular Air,13.32,45.28
Express Air,2.26,13.57
Regular Air,1.39,55.48
Regular Air,3,5319.35
Regular Air,2.99,30.44
Regular Air,19.99,3251.76
Regular Air,4,22.48
Regular Air,7.95,267.32
Regular Air,6.3,284.39
Delivery Truck,64.73,974.14
Regular Air,1.99,128.13
Regular Air,6.27,464.94
Express Air,19.99,2188.06
Regular Air,5.66,320.93
Regular Air,9.47,261.85
Regular Air,6.27,1834.61
Regular Air,1.1,261.56
Express Air,7.69,114.81
Regular Air,6.79,546.21
Express Air,3.99,272.86
Regular Air,49,2119.54
Regular Air,19.99,45737.33
Regular Air,17.08,438.25
Regular Air,49,561.06
Regular Air,19.99,11434.33
Express Air,8.99,3229.24
Regular Air,17.08,101.13
Regular Air,3.92,451.83
Express Air,0.7,20.24
Regular Air,4.99,1486.34
Regular Air,19.99,406.26
Delivery Truck,60,5835.41
Regular Air,2.5,52.1
Regular Air,6.89,45.87
Regular Air,12.23,256.77
Delivery Truck,51.94,605.82
Regular Air,5,1569
Delivery Truck,51.94,151.46
Regular Air,6.89,10.19
Regular Air,12.23,64.19
