Order Date,Profit,Customer Segment
1/27/2015,-37.39,Small Business
5/25/2015,149.8887,Small Business
5/16/2015,3.04,Small Business
5/16/2015,2.706,Small Business
6/2/2015,91.956,Small Business
6/2/2015,-2.544,Small Business
1/15/2015,2.4852,Small Business
3/16/2015,-634.7341,Home Office
3/12/2015,133.5771,Small Business
4/23/2015,251.4084,Corporate
1/22/2015,-20.258,Home Office
4/20/2015,13.896,Home Office
1/15/2015,-172.718,Consumer
4/19/2015,-40.684,Home Office
3/29/2015,97.86,Consumer
6/18/2015,360.24,Small Business
5/14/2015,713.88,Corporate
1/25/2015,-18.64,Corporate
1/2/2015,-111.4,Home Office
1/2/2015,-77.03,Home Office
1/11/2015,28.5141,Consumer
1/3/2015,280.27458,Corporate
1/3/2015,-112.4263,Corporate
1/3/2015,24.924,Corporate
4/13/2015,-2.9095,Corporate
2/21/2015,-76.89,Small Business
5/22/2015,-35.75,Corporate
2/21/2015,-76.89,Small Business
5/22/2015,152.6556,Corporate
5/22/2015,7.15,Corporate
2/12/2015,113.6499,Corporate
2/12/2015,-35.4744,Corporate
4/9/2015,14.467,Corporate
4/9/2015,-99.9864,Corporate
4/9/2015,1348.59672,Corporate
1/3/2015,-560.81418,Corporate
3/30/2015,-66.0445,Corporate
1/10/2015,-105.6852,Corporate
3/30/2015,15.66,Corporate
4/2/2015,1167.158,Small Business
4/2/2015,1014.92,Small Business
4/27/2015,1.73,Corporate
1/16/2015,-133.7,Corporate
1/17/2015,-66.62,Home Office
6/2/2015,-21.48775,Home Office
6/2/2015,44.6775,Home Office
6/2/2015,23.595,Home Office
1/6/2015,7.59,Consumer
1/6/2015,-107.987,Consumer
6/2/2015,-36.25,Home Office
6/9/2015,-102.5121,Consumer
4/2/2015,36.354,Small Business
2/20/2015,-243.2365,Small Business
2/20/2015,-53.62,Small Business
2/5/2015,1103.9724,Small Business
3/27/2015,136.3371,Small Business
3/27/2015,-12.46,Small Business
4/28/2015,-175.86,Small Business
2/22/2015,3294.8259,Corporate
4/20/2015,35.09,Small Business
4/20/2015,785.63,Small Business
5/26/2015,-256.519,Small Business
5/26/2015,398.358,Small Business
2/23/2015,-101.192,Corporate
2/23/2015,-3.332,Corporate
3/21/2015,-145.082,Corporate
5/28/2015,1.108,Corporate
5/28/2015,1061.379,Corporate
6/10/2015,-53.745,Home Office
1/31/2015,0.684,Home Office
1/2/2015,-127.008,Consumer
1/19/2015,5.7532,Consumer
1/21/2015,-2177.986096,Small Business
5/18/2015,326.25,Corporate
5/15/2015,8.932,Corporate
5/15/2015,229.638,Corporate
4/7/2015,-22.48,Home Office
4/7/2015,78.98,Home Office
6/5/2015,144.2928,Home Office
6/5/2015,888.1473,Home Office
6/5/2015,-46.005,Home Office
3/30/2015,128.0253,Small Business
4/7/2015,-29.8984,Home Office
4/7/2015,52.9166,Home Office
6/5/2015,72.1858,Home Office
6/5/2015,-122.3733,Home Office
1/24/2015,-51.75,Corporate
5/21/2015,-1,Corporate
5/21/2015,-221.254,Corporate
6/17/2015,-11.57,Corporate
6/17/2015,-61.87,Small Business
6/17/2015,-530.24,Small Business
1/16/2015,132.687,Small Business
1/16/2015,496.89,Small Business
3/25/2015,-135.16,Small Business
2/14/2015,15.8952,Small Business
2/14/2015,855.9933,Small Business
2/14/2015,10.74,Small Business
3/20/2015,-1759.58,Corporate
3/20/2015,-72.23,Corporate
6/17/2015,-27.16,Corporate
6/17/2015,-52.344,Corporate
6/17/2015,-119.936,Corporate
4/4/2015,9.9268,Consumer
6/9/2015,-29.172,Consumer
4/14/2015,-715.778206,Home Office
4/14/2015,-22.82,Home Office
5/4/2015,2639.4708,Corporate
5/4/2015,-5.2,Corporate
3/17/2015,-83.65,Corporate
3/17/2015,24.39,Corporate
5/4/2015,-4.6683,Corporate
1/31/2015,11.65095,Corporate
5/4/2015,0.702,Corporate
6/9/2015,5.8625,Home Office
1/2/2015,1916.6757,Home Office
6/9/2015,10.5,Home Office
1/2/2015,993.8346,Home Office
5/14/2015,-165.45,Home Office
5/14/2015,-141.12,Home Office
5/24/2015,1074.44,Corporate
1/9/2015,-627.82192,Corporate
1/17/2015,411.5172,Small Business
4/11/2015,211.232,Corporate
5/27/2015,49.788,Corporate
5/27/2015,-132.6295,Corporate
3/14/2015,-163.63,Small Business
3/14/2015,-63.87,Small Business
3/14/2015,-175.175,Small Business
3/14/2015,-224.9478,Small Business
3/14/2015,196.8,Small Business
4/17/2015,250.0376,Consumer
5/1/2015,-539.59,Corporate
3/19/2015,-82.823,Corporate
3/19/2015,107.082,Corporate
6/12/2015,-27.28375,Corporate
1/3/2015,-51.5592,Corporate
1/3/2015,-263.56572,Corporate
2/6/2015,1273.2087,Corporate
3/5/2015,-159.68,Corporate
3/5/2015,27.91,Corporate
2/15/2015,-81.77,Corporate
6/18/2015,-19.208,Corporate
6/18/2015,7.44,Corporate
2/2/2015,-372.485971,Corporate
5/23/2015,1372.6308,Corporate
5/21/2015,50.2044,Small Business
5/2/2015,236.2371,Corporate
5/4/2015,943,Consumer
2/6/2015,-2531.4825,Small Business
1/15/2015,163.1574,Corporate
1/15/2015,-302.225,Corporate
3/3/2015,90.62,Corporate
6/22/2015,427.1184,Small Business
5/25/2015,86.438,Small Business
4/11/2015,-4.46,Small Business
6/23/2015,-512.872,Small Business
6/23/2015,-3.784,Small Business
6/25/2015,-82.904,Corporate
6/25/2015,1268.8065,Corporate
4/10/2015,-53.2962,Home Office
5/27/2015,299.6739,Home Office
1/5/2015,-15.456,Home Office
1/5/2015,16.0494,Home Office
5/27/2015,-235.895,Home Office
5/8/2015,-41.32,Corporate
5/23/2015,7.9,Home Office
1/14/2015,521.69,Small Business
1/11/2015,496.7968,Small Business
1/11/2015,-556.8096,Small Business
1/11/2015,-27.7388,Small Business
1/11/2015,-128.6872,Small Business
1/11/2015,23.2028,Small Business
2/8/2015,-568.5351,Consumer
2/8/2015,-427.47,Consumer
1/27/2015,-18.19,Corporate
4/23/2015,-24.05754,Corporate
4/23/2015,2583.56148,Corporate
3/18/2015,6.0513,Corporate
5/18/2015,-67.0565,Corporate
5/18/2015,-7.94,Corporate
5/18/2015,122.292,Corporate
5/15/2015,-2.12,Consumer
2/10/2015,-69.07,Consumer
6/20/2015,2028.12,Consumer
6/20/2015,-63.51,Consumer
1/20/2015,-92.05,Consumer
1/20/2015,6.11,Consumer
5/15/2015,-36.63,Consumer
5/15/2015,-2.12,Consumer
2/10/2015,-35.9164,Consumer
6/20/2015,3042.18,Consumer
6/20/2015,-31.755,Consumer
5/14/2015,171.8388,Small Business
4/18/2015,32.9409,Corporate
4/18/2015,131.334,Corporate
2/23/2015,-282.0818,Corporate
4/18/2015,140.1354,Corporate
1/13/2015,105.2526,Corporate
2/1/2015,-29.0927,Corporate
6/5/2015,113.415,Home Office
6/22/2015,26.1,Small Business
6/22/2015,-2.58,Small Business
6/22/2015,2800.12,Small Business
1/20/2015,363.552,Consumer
1/20/2015,-11.536,Consumer
5/25/2015,-6.612,Home Office
1/17/2015,-15.5595,Home Office
1/17/2015,-108.19,Home Office
4/21/2015,46.488,Corporate
5/14/2015,159.5297,Small Business
5/14/2015,15.3714,Small Business
5/23/2015,5924.1123,Small Business
6/14/2015,39.5853,Corporate
1/20/2015,-66.378,Corporate
1/30/2015,-33.34,Corporate
1/30/2015,-201.276,Corporate
6/12/2015,4637.4072,Corporate
6/12/2015,-239.5415,Corporate
1/30/2015,21.5142,Corporate
1/28/2015,34.068,Home Office
2/21/2015,4073.25,Corporate
4/15/2015,-179.592,Corporate
6/18/2015,-500.38,Corporate
2/21/2015,6028.41,Corporate
4/15/2015,-161.6328,Corporate
6/18/2015,-250.19,Corporate
1/28/2015,46.1472,Home Office
1/28/2015,-1116.3348,Home Office
3/4/2015,1141.794,Consumer
4/15/2015,-99.568,Consumer
4/1/2015,224.8506,Consumer
1/13/2015,-122.133,Consumer
3/13/2015,-12.1555,Home Office
2/26/2015,-269.0844,Corporate
1/13/2015,-566,Corporate
5/13/2015,293.14,Corporate
5/13/2015,-6.61,Corporate
5/13/2015,-57.541,Corporate
1/21/2015,-266.22,Corporate
5/13/2015,-67.59,Corporate
1/17/2015,-239.8656,Small Business
1/17/2015,-53.444,Small Business
3/15/2015,-22.12,Consumer
6/19/2015,484.8492,Consumer
6/19/2015,18,Consumer
2/15/2015,15.2745,Consumer
2/15/2015,26.5857,Consumer
2/15/2015,-575.352,Consumer
6/10/2015,-51.635,Small Business
3/13/2015,-75.44,Corporate
2/3/2015,-120.934,Home Office
3/14/2015,-1763.7477,Corporate
1/24/2015,-15.0995,Home Office
3/14/2015,-1763.7477,Corporate
4/29/2015,23.5428,Consumer
4/29/2015,-276.1128,Consumer
3/24/2015,-78.13,Consumer
4/29/2015,-64.67094,Consumer
4/29/2015,-11.1132,Consumer
1/7/2015,107.02,Consumer
2/26/2015,18.42,Home Office
2/26/2015,349.47,Home Office
4/1/2015,-226.3464,Home Office
4/1/2015,-281.17584,Home Office
4/21/2015,6610.2,Corporate
4/5/2015,-103.7124,Corporate
4/5/2015,-124.2864,Corporate
3/20/2015,-229.68,Consumer
4/30/2015,288.09,Consumer
4/30/2015,719.4768,Consumer
2/14/2015,1192.04,Consumer
2/14/2015,1192.04,Consumer
3/20/2015,-229.68,Consumer
4/30/2015,288.09,Consumer
4/30/2015,1030.509,Consumer
6/17/2015,261.444,Corporate
6/21/2015,-10.36,Home Office
5/29/2015,106.7499,Home Office
1/7/2015,-246.92616,Consumer
2/15/2015,4233.2588,Consumer
2/15/2015,102.7686,Consumer
2/15/2015,-36.671544,Consumer
4/16/2015,20.6448,Consumer
1/19/2015,-24.2048,Consumer
1/19/2015,-126.05778,Consumer
5/29/2015,10.802,Home Office
1/16/2015,-678.496,Corporate
4/18/2015,90.762,Corporate
4/22/2015,-352.814,Corporate
1/16/2015,70.028,Corporate
4/22/2015,-124.2805,Corporate
3/20/2015,40.4823,Home Office
3/20/2015,32.86,Home Office
3/5/2015,-187.222,Home Office
2/5/2015,9.59,Small Business
2/5/2015,-655.424,Small Business
1/2/2015,-7.58,Small Business
4/22/2015,-109.704,Corporate
3/4/2015,-19.93,Corporate
3/4/2015,4568.6073,Corporate
3/4/2015,-258.225,Corporate
4/7/2015,38.06,Small Business
5/16/2015,-207.28,Small Business
3/6/2015,-12.719,Small Business
2/4/2015,-51.42,Small Business
3/21/2015,-88.6,Home Office
3/25/2015,2568.4629,Small Business
3/8/2015,9.486,Small Business
3/8/2015,-263.65,Small Business
3/8/2015,890.181,Small Business
5/5/2015,6095.8602,Small Business
3/27/2015,-82.83,Corporate
3/27/2015,25.04,Corporate
4/7/2015,-580.32,Corporate
3/27/2015,928.9608,Corporate
2/7/2015,-131.6172,Corporate
3/27/2015,-82.83,Corporate
3/27/2015,25.04,Corporate
3/27/2015,930.987,Corporate
4/7/2015,-580.32,Corporate
2/7/2015,-253.11,Corporate
4/23/2015,-16.67,Consumer
6/6/2015,40.2,Consumer
6/6/2015,3.21,Consumer
6/30/2015,38.7,Consumer
6/30/2015,-21.91,Consumer
6/30/2015,-119.77,Consumer
1/29/2015,-168.72,Consumer
1/29/2015,-439.62,Consumer
5/20/2015,15.42,Consumer
5/20/2015,33.924,Consumer
4/23/2015,-16.67,Consumer
6/30/2015,46.44,Consumer
6/30/2015,-17.528,Consumer
6/30/2015,-95.816,Consumer
6/6/2015,3.852,Consumer
2/28/2015,71.7356,Corporate
2/28/2015,-79.3208,Corporate
6/24/2015,24.096,Corporate
6/24/2015,6.972,Corporate
4/11/2015,-24.246,Corporate
3/15/2015,-605.374,Consumer
3/15/2015,-99.55,Consumer
4/26/2015,-801.1548,Consumer
6/15/2015,797.856,Consumer
6/7/2015,422.4525,Consumer
6/15/2015,-178.216,Consumer
6/15/2015,-26.656,Consumer
1/28/2015,-54.622,Corporate
1/28/2015,-126.81418,Corporate
1/17/2015,1400.1,Consumer
5/25/2015,916.6806,Consumer
1/17/2015,67.6,Consumer
1/12/2015,-224.644,Corporate
2/27/2015,14.76,Corporate
3/11/2015,10.85,Corporate
3/11/2015,97.6626,Corporate
6/4/2015,-453.2,Corporate
4/12/2015,-207.679788,Consumer
2/11/2015,-7.5244,Home Office
5/29/2015,-92.961,Small Business
4/27/2015,613.89576,Small Business
1/30/2015,232.2816,Corporate
3/19/2015,-45.07,Small Business
3/19/2015,-8.53,Small Business
3/19/2015,285.95,Small Business
1/14/2015,-209.25,Small Business
1/14/2015,-9.1636,Small Business
5/17/2015,12.706,Small Business
5/17/2015,7.71516,Small Business
4/29/2015,192.5169,Small Business
1/6/2015,-134.912,Small Business
4/6/2015,-5.05,Home Office
6/21/2015,-204.16,Corporate
3/11/2015,-46.115,Corporate
6/19/2015,-20.104,Corporate
6/1/2015,-3.496,Corporate
6/1/2015,-717.072,Corporate
3/6/2015,-62.23,Corporate
1/6/2015,131.382,Consumer
1/6/2015,-89.292,Consumer
1/6/2015,-211.036,Consumer
3/28/2015,-13.28,Consumer
3/28/2015,-48.68,Consumer
4/29/2015,-184.548,Small Business
1/9/2015,1220.03784,Small Business
5/21/2015,-2.87,Small Business
1/12/2015,4.3809,Small Business
1/12/2015,-100.744,Small Business
5/21/2015,3.384,Home Office
5/25/2015,0.346,Home Office
2/22/2015,-17.654,Corporate
1/24/2015,-13.826,Corporate
1/9/2015,-203.67,Corporate
3/7/2015,19.57,Corporate
2/25/2015,98.12,Corporate
3/7/2015,107.11,Corporate
3/7/2015,-216.154,Corporate
4/30/2015,-6.6096,Corporate
3/16/2015,-89.217,Small Business
4/30/2015,1.2236,Corporate
4/30/2015,4.3148,Corporate
4/30/2015,-125.83296,Corporate
5/27/2015,122.21,Corporate
2/26/2015,-11.1332,Corporate
2/25/2015,201.7353,Corporate
2/25/2015,-684.78,Corporate
3/6/2015,-237.47,Corporate
3/6/2015,-2946.051,Corporate
3/15/2015,21.5556,Home Office
5/20/2015,-239.315,Home Office
5/20/2015,-33.31,Home Office
2/21/2015,-74.4796,Small Business
2/21/2015,-232.22056,Small Business
3/25/2015,18.6438,Small Business
3/25/2015,-31.24,Small Business
5/24/2015,55.888,Corporate
1/5/2015,1.3224,Consumer
1/5/2015,455.4207,Consumer
1/10/2015,29.332,Corporate
1/10/2015,-86,Corporate
2/2/2015,-0.49,Corporate
1/10/2015,34.3482,Corporate
1/10/2015,-66.65,Corporate
6/20/2015,35.955,Corporate
1/12/2015,-173.0952,Small Business
1/12/2015,-96.16,Small Business
1/27/2015,263.4,Small Business
1/27/2015,37.31,Small Business
1/12/2015,-173.0952,Small Business
1/12/2015,-96.16,Small Business
1/27/2015,104.7213,Small Business
1/27/2015,37.31,Small Business
3/12/2015,80.6748,Consumer
2/26/2015,114.3165,Home Office
6/17/2015,1107.408,Home Office
5/14/2015,-149.212,Corporate
1/31/2015,-21.018,Corporate
1/31/2015,-655.529875,Corporate
4/4/2015,354.3288,Corporate
1/4/2015,-489.4156,Home Office
1/4/2015,35.31,Corporate
4/12/2015,6.11,Consumer
5/20/2015,187.412,Corporate
4/12/2015,-6.34,Consumer
3/27/2015,92.7222,Corporate
4/12/2015,-160.2755,Consumer
5/20/2015,396.972,Small Business
4/6/2015,-7.04,Small Business
4/6/2015,538.52,Small Business
2/17/2015,-4.14,Corporate
6/27/2015,-31.885,Corporate
6/27/2015,-95.2105,Corporate
4/14/2015,-193.58,Home Office
3/6/2015,-4.301,Home Office
3/1/2015,-1570.32,Home Office
1/11/2015,27.23,Home Office
1/2/2015,-19.0992,Consumer
3/22/2015,373.67,Consumer
1/2/2015,-14.80188,Consumer
3/22/2015,-2561.3235,Consumer
3/22/2015,168.9189,Consumer
3/22/2015,-6.2,Consumer
2/12/2015,19.0647,Small Business
2/12/2015,10.56,Small Business
3/22/2015,837.6807,Corporate
2/4/2015,-4.2,Home Office
2/24/2015,-44.1636,Home Office
2/4/2015,-4.2,Home Office
4/20/2015,-102.662,Consumer
2/28/2015,-116.584,Corporate
2/28/2015,12.8961,Corporate
4/4/2015,-21.3192,Corporate
2/5/2015,93.8468,Corporate
4/27/2015,17.772,Corporate
2/19/2015,-104.57,Small Business
3/14/2015,-969.048366,Small Business
5/10/2015,4.032,Small Business
1/24/2015,-23.6344,Small Business
3/14/2015,-71.83,Small Business
3/14/2015,-0.74,Small Business
3/4/2015,-3.88,Small Business
2/27/2015,551.0928,Small Business
5/25/2015,17.5053,Home Office
6/19/2015,818.546175,Corporate
3/1/2015,-17.15,Home Office
3/1/2015,-29.54,Home Office
3/1/2015,-329.784,Home Office
3/5/2015,-2.1,Home Office
3/18/2015,829.467,Home Office
6/12/2015,111.222,Home Office
4/8/2015,22.866,Home Office
4/8/2015,115.728,Home Office
3/7/2015,909.36,Small Business
2/6/2015,-76.4244,Small Business
2/6/2015,8.732,Small Business
5/15/2015,442.0899,Small Business
5/15/2015,455.124,Small Business
2/7/2015,624.40164,Small Business
5/29/2015,18.922,Small Business
5/29/2015,39.3507,Small Business
3/12/2015,-229.87,Small Business
3/12/2015,329.9787,Small Business
3/29/2015,30.49,Small Business
5/8/2015,1152.5277,Small Business
3/13/2015,-604.406,Home Office
3/13/2015,293.66,Home Office
6/16/2015,-403.1874,Corporate
4/17/2015,-13.77,Small Business
4/17/2015,44.9121,Small Business
5/16/2015,9.33,Small Business
6/14/2015,2593.14,Home Office
6/14/2015,1162.76,Home Office
2/27/2015,-76.94,Home Office
2/27/2015,-40.0088,Home Office
5/25/2015,-51.704,Corporate
5/25/2015,144.7482,Corporate
5/25/2015,-112.189,Corporate
3/24/2015,-445.9717763,Small Business
5/30/2015,4.1674,Small Business
3/24/2015,-335.317125,Small Business
5/30/2015,16.0218,Small Business
5/30/2015,38.0673,Small Business
2/18/2015,-99.43544,Corporate
3/16/2015,-97.28,Home Office
5/14/2015,139.612,Home Office
3/27/2015,-505.76,Corporate
3/9/2015,152.4348,Home Office
5/8/2015,9.862,Corporate
3/31/2015,-232.991,Corporate
1/5/2015,-40.2752,Home Office
4/24/2015,-53.25,Home Office
5/13/2015,-159.25,Corporate
5/13/2015,206.517,Corporate
4/24/2015,2.125,Home Office
5/5/2015,5.884,Small Business
4/10/2015,772.04,Home Office
4/10/2015,772.04,Home Office
5/20/2015,81.91,Small Business
5/21/2015,-10.9,Small Business
6/6/2015,1232.79,Consumer
5/21/2015,2.18,Small Business
5/20/2015,67.1075,Small Business
5/20/2015,54.9378,Small Business
5/20/2015,168.237,Small Business
6/29/2015,-169.232,Consumer
4/2/2015,1272.5808,Corporate
4/2/2015,-5390.738892,Corporate
4/6/2015,29.7252,Corporate
4/6/2015,-187.11,Corporate
2/5/2015,-139.2872,Home Office
2/7/2015,108,Consumer
2/7/2015,377.154,Consumer
3/15/2015,-127.052,Small Business
6/20/2015,2169.7464,Small Business
6/20/2015,-229.93,Small Business
2/24/2015,-93.7352,Consumer
6/22/2015,4.53,Consumer
6/22/2015,9.78,Consumer
2/16/2015,-63.8135,Home Office
2/16/2015,325.29,Home Office
3/29/2015,-116.05,Corporate
5/21/2015,117.38,Home Office
6/13/2015,-144.2,Corporate
1/26/2015,-46.92,Home Office
5/21/2015,70.1937,Home Office
2/10/2015,-48.2195,Corporate
2/16/2015,-63.8135,Home Office
2/16/2015,325.29,Home Office
6/13/2015,-115.36,Corporate
1/26/2015,-46.92,Home Office
1/2/2015,2660.1432,Consumer
2/16/2015,-51.116,Home Office
1/4/2015,1766.7795,Home Office
6/6/2015,85.875,Home Office
6/9/2015,6.0927,Corporate
1/2/2015,20.2996,Consumer
1/2/2015,108.5163,Consumer
2/14/2015,48.47148,Consumer
5/20/2015,-152.76,Consumer
6/2/2015,125.2074,Consumer
6/2/2015,281.5344,Consumer
4/9/2015,64.266,Consumer
4/9/2015,-302.6156,Consumer
4/9/2015,5.6916,Consumer
4/9/2015,-369.11,Consumer
5/23/2015,27.0135,Home Office
6/29/2015,184.1955,Home Office
3/21/2015,4.11,Consumer
4/10/2015,28.566,Consumer
4/9/2015,2581.5591,Consumer
6/17/2015,-25.112,Consumer
6/17/2015,17.376,Consumer
6/17/2015,24.2604,Consumer
6/28/2015,59.4405,Small Business
6/17/2015,14.48,Consumer
6/17/2015,22.25,Consumer
2/25/2015,592.5265,Consumer
2/25/2015,232.8,Consumer
5/1/2015,38.08,Small Business
6/28/2015,-17.03,Small Business
6/28/2015,39.627,Small Business
5/1/2015,20.496,Small Business
3/18/2015,103.83,Small Business
2/25/2015,-24.8976,Consumer
2/25/2015,776.7744,Consumer
2/25/2015,344.544,Consumer
6/28/2015,-8.515,Small Business
2/1/2015,9.0045,Corporate
1/15/2015,-99.7625,Corporate
1/15/2015,-3061.82,Corporate
2/4/2015,258.6189,Corporate
2/4/2015,-6.71,Corporate
1/15/2015,-0.01,Corporate
4/28/2015,-421.76,Small Business
4/28/2015,6.79,Small Business
4/28/2015,-421.76,Small Business
2/16/2015,-60.145,Small Business
2/16/2015,-111.72,Small Business
2/16/2015,33.01,Small Business
2/16/2015,-111.72,Small Business
4/9/2015,297.45716,Consumer
4/9/2015,-564.6024,Consumer
6/4/2015,-161.475,Consumer
6/4/2015,-0.814,Consumer
1/31/2015,790.464,Corporate
3/29/2015,7.74,Corporate
5/25/2015,3985.3089,Corporate
5/25/2015,13.9568,Corporate
1/31/2015,788.79,Corporate
3/16/2015,-70.14,Corporate
3/25/2015,531.618,Small Business
4/5/2015,-107.5135,Home Office
4/5/2015,46.01,Home Office
5/22/2015,1489.8,Home Office
4/5/2015,-107.5135,Home Office
4/5/2015,24.8193,Home Office
4/9/2015,-255.1689,Corporate
4/9/2015,74.0048,Corporate
4/9/2015,109.4248,Corporate
4/23/2015,421.3485,Home Office
4/23/2015,-373.09,Home Office
4/23/2015,-3465.072,Home Office
5/21/2015,-11.2815,Home Office
3/12/2015,-218.77,Home Office
3/24/2015,-9.68,Home Office
5/22/2015,-164.3952,Home Office
4/24/2015,-8.208,Home Office
4/20/2015,-2196.684,Home Office
5/7/2015,43.538,Home Office
6/11/2015,-11.376,Home Office
2/10/2015,533.742,Corporate
5/12/2015,-379.344,Corporate
5/12/2015,-1522.304,Corporate
4/9/2015,588.2457,Corporate
5/1/2015,151.5654,Corporate
3/1/2015,54.9015,Corporate
3/5/2015,501.51,Corporate
3/1/2015,54.9015,Corporate
1/24/2015,875.2844,Small Business
1/24/2015,727.7361,Small Business
1/24/2015,460.676,Small Business
1/24/2015,393.42,Small Business
2/12/2015,606.0546,Home Office
2/12/2015,320.1,Home Office
2/19/2015,317.0895,Consumer
2/19/2015,250.36272,Consumer
4/23/2015,6.0306,Consumer
2/17/2015,125.8077,Consumer
6/30/2015,44.892,Small Business
3/30/2015,3.451,Home Office
3/30/2015,-275.253,Home Office
1/5/2015,-746.44,Home Office
1/5/2015,-274.95,Home Office
3/30/2015,-95.0475,Home Office
3/30/2015,3.451,Home Office
3/30/2015,-275.253,Home Office
1/5/2015,-746.44,Home Office
1/5/2015,-274.95,Home Office
2/10/2015,525.2004,Home Office
2/10/2015,-52.647,Home Office
2/10/2015,-24.44,Home Office
2/10/2015,366.507,Home Office
6/6/2015,27.38,Home Office
2/10/2015,-12.7088,Home Office
6/6/2015,-5.295,Home Office
6/6/2015,41.07,Home Office
4/30/2015,-94.4909,Home Office
4/17/2015,-172.298,Home Office
1/27/2015,3285.48,Home Office
4/30/2015,46.0368,Home Office
2/11/2015,-1.0712,Consumer
2/11/2015,4.4104,Consumer
6/3/2015,500.958,Home Office
6/28/2015,1206.5961,Home Office
1/26/2015,82.3101,Consumer
1/26/2015,1.2236,Consumer
2/10/2015,-15.6312,Consumer
2/10/2015,790.5468,Consumer
2/4/2015,5.466,Consumer
2/4/2015,-149.1182,Consumer
3/17/2015,-90.26,Home Office
1/7/2015,-326.2316,Consumer
3/23/2015,16.898,Consumer
3/23/2015,20.14,Consumer
6/7/2015,-21.232,Home Office
6/27/2015,18.0642,Home Office
5/1/2015,-93.25,Consumer
6/30/2015,-163.03,Consumer
6/7/2015,23.616,Consumer
1/25/2015,-11.0732,Corporate
5/13/2015,21.7695,Small Business
6/3/2015,29.3802,Consumer
5/16/2015,100.2984,Corporate
5/16/2015,2495.3988,Corporate
4/24/2015,-0.11,Consumer
5/3/2015,15.236,Small Business
1/15/2015,-42.8536,Corporate
1/21/2015,-20.79,Home Office
1/15/2015,-33.21154,Corporate
1/21/2015,-20.79,Home Office
4/7/2015,369.9987,Corporate
2/2/2015,20.4536,Corporate
4/7/2015,542.25,Corporate
2/2/2015,69.61,Corporate
5/6/2015,-634.8654,Small Business
6/25/2015,87.12,Small Business
1/1/2015,25.2402,Small Business
6/25/2015,-94.674645,Small Business
1/12/2015,451.2804,Home Office
1/12/2015,44.988,Home Office
1/12/2015,-20.7328,Home Office
6/20/2015,-164.3948,Home Office
1/1/2015,-4793.004,Small Business
2/5/2015,1258.7877,Home Office
3/5/2015,74.2785,Corporate
6/20/2015,52.92,Corporate
3/5/2015,-66.35,Corporate
5/19/2015,1399.64,Corporate
5/19/2015,232.642,Corporate
1/22/2015,-409.3736,Corporate
4/28/2015,-29.07,Corporate
6/25/2015,1909.8855,Corporate
1/30/2015,-76.9925,Corporate
1/30/2015,297.9696,Corporate
5/24/2015,1318.83,Consumer
4/5/2015,36.216,Consumer
6/2/2015,134.16825,Consumer
